term_id,source_term,id_ID,scope,status,note
"O012-TERM-0435","sphere reflection","refleksi sfera","algebraic_topology","admitted","restriction to S^n of a linear reflection through a hyperplane through the origin; its degree is minus one"
"O012-TERM-0436","induced homomorphism","homomorfisma terinduksi","homological_algebra","admitted","group homomorphism obtained from a continuous or chain map; use O012-TERM-0397 for the generic induced-map wording"
"O012-TERM-0437","orientation generator","pembangkit orientasi","algebraic_topology","admitted","chosen generator of reduced top homology or cohomology compatible with the sphere orientation"
"O012-TERM-0438","top homology","homologi puncak","algebraic_topology","admitted","homology in the manifold dimension; use reduced homology for S^0 in the degree definition"
"O012-TERM-0439","Hopf theorem","teorema Hopf","homotopy_theory","admitted","for n at least one, homotopy classes of maps from S^n to S^n are classified by degree; exclude S^0"
"O012-TERM-0440","homological degree","derajat homologis","algebraic_topology","admitted","the integer by which f_* acts on oriented reduced top homology"
"O012-TERM-0441","cohomological degree","derajat kohomologis","algebraic_topology","admitted","the same integer obtained from f^* on oriented reduced top cohomology"
"O012-TERM-0442","local degree","derajat lokal","algebraic_topology","admitted","integer induced on oriented local homology at an isolated preimage; this component uses n at least one"
"O012-TERM-0443","local orientation","orientasi lokal","algebraic_topology","admitted","compatible generators of H_n(S^n,S^n minus {x}) determined by the sphere orientation"
"O012-TERM-0444","local homeomorphism","homeomorfisma lokal","topology","admitted","homeomorphism on a neighborhood; between oriented spheres its local degree is plus or minus one"
"O012-TERM-0445","orientation-reversing","membalik orientasi","topology","admitted","counterpart to O012-TERM-0270; an orientation-reversing local homeomorphism contributes negative local degree"
"O012-TERM-0446","local-to-global degree formula","rumus derajat lokal-ke-global","algebraic_topology","admitted","global degree equals the sum of local degrees over a finite preimage"
"O012-TERM-0447","fundamental class","kelas fundamental","algebraic_topology","admitted","oriented generator of top homology whose images determine global and local degree"
"O012-TERM-0448","power map","pemetaan pangkat","algebraic_topology","admitted","the map z to z^k on S^1; its degree is k for every integer k"
"O012-TERM-0449","angular coordinates","koordinat sudut","geometry","admitted","local real coordinates on circle arcs used to determine the orientation sign of a power map"
"O012-TERM-0450","signed local contribution","kontribusi lokal bertanda","algebraic_topology","admitted","orientation-signed summand in the local-to-global degree formula"
"O012-TERM-0451","Kronecker pairing","pasangan Kronecker","homological_algebra","admitted","the natural evaluation pairing whose naturality identifies homological and cohomological degree"
"O012-TERM-0452","dual generator","pembangkit dual","algebra","admitted","cohomology generator paired to one with the chosen oriented homology generator"
"O012-TERM-0453","fixed-point criterion","kriteria titik tetap","algebraic_topology","admitted","if a sphere self-map has degree different from the antipodal degree then it has a fixed point"
"O012-TERM-0454","angular lift","pengangkatan sudut","algebraic_topology","admitted","a lift F from R to R with F(t+1)=F(t)+d; the displacement d is the circle-map degree"
