event_id,severity,source_location,observed,action,status,rationale
"O012-ADV-0534","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:3233-3234; reader:#o012-fom-u006-audit-open-cell; reviewed snapshot e8d4d5391f8cdf4e62a019f7a991d09e4b610633e8e660dec4e0ea2b61c538f7","[FOM-U006A-ADV-001] The source calls Int(phi_alpha(D^1_alpha)) a one-cell, although the ambient interior of the closed-cell image can be empty and is not the CW open-cell definition.","define the open cell as phi_alpha(Int D^1_alpha), the image of the disc interior under the characteristic map","corrected_in_translation","restores the standard CW open-cell definition without changing the selected cell decomposition"
"O012-ADV-0535","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:3178-3182,3208-3247; reader:#o012-fom-u006-audit-disk-dimension-and-map-types; reviewed snapshot e8d4d5391f8cdf4e62a019f7a991d09e4b610633e8e660dec4e0ea2b61c538f7","[FOM-U006A-ADV-002] The general n-dimensional quotient uses D^1 instead of D^n; the attaching-map panel colors the whole interval even though varphi has boundary-only domain; and line 3180 contains a deterministic grammar defect.","use D^n in the quotient, state both map types explicitly, redraw the attaching panel with only the two boundary points as its domain, and normalize the grammar","corrected_in_translation","makes the induction dimensionally typed and visually distinguishes attaching from characteristic maps"
"O012-ADV-0536","P2","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:3250-3253; reader:#o012-fom-u006-audit-delta-equivalence; reviewed snapshot e8d4d5391f8cdf4e62a019f7a991d09e4b610633e8e660dec4e0ea2b61c538f7","[FOM-U006A-ADV-003] The source says one-dimensional CW and Delta-complex structures are equivalent without naming the equivalence relation.","state that after subdivision their realizations are homeomorphic and that the cellular structures need not be identical","clarified_in_translation","prevents readers from mistaking homeomorphism for equality of cell structures or mere homotopy equivalence"
"O012-ADV-0537","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:3134-3266; reader:#o012-fom-u006-audit-weak-topology; reviewed snapshot e8d4d5391f8cdf4e62a019f7a991d09e4b610633e8e660dec4e0ea2b61c538f7","[FOM-U006A-ADV-004] The infinite construction is written as a union of skeleta with an openness test but the final/weak topology and the closure-finite CW condition are not made explicit.","define the topological colimit through the weak topology on closed cells or skeleta and state closure-finiteness separately","clarified_in_translation","supplies the C and W conditions required for the later Hawaiian-earring distinction"
"O012-ADV-0538","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:3268-3295; reader:#o012-fom-u006-audit-hawaiian-earring; reviewed snapshot e8d4d5391f8cdf4e62a019f7a991d09e4b610633e8e660dec4e0ea2b61c538f7","[FOM-U006A-ADV-005] The source first calls the Hawaiian earring a nonexample, then a CW complex, then not a CW complex; its proposed vertex-center argument and altered planar drawing do not establish a CW topology.","separate the planar subspace from the abstract weak-topology wedge and prove failure through the weak-topology test plus local contractibility and semilocal simple connectivity","corrected_in_translation","removes the contradiction and gives an intrinsic topological obstruction rather than an invalid choice of vertices"
"O012-ADV-0539","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:3297-3333; reader:#o012-fom-u006-audit-petersen-planarity; reviewed snapshot e8d4d5391f8cdf4e62a019f7a991d09e4b610633e8e660dec4e0ea2b61c538f7","[FOM-U006A-ADV-006] The source infers that the Petersen graph is not a CW complex because a plane drawing must have crossings.","distinguish the graph's intrinsic one-dimensional CW structure from planarity and from a particular crossed drawing","corrected_in_translation","nonplanarity obstructs a plane embedding but not the abstract CW structure with ten zero-cells and fifteen one-cells"
"O012-ADV-0540","P2","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:3367-3375; reader:#o012-fom-u006-audit-sphere-index; reviewed snapshot e8d4d5391f8cdf4e62a019f7a991d09e4b610633e8e660dec4e0ea2b61c538f7","[FOM-U006A-ADV-007] The minimal sphere construction uses the undefined index k in 1 <= i < k although the attached cell has dimension n.","replace the range by 1 <= i < n and state n >= 1","corrected_in_translation","restores a typed filtration with one zero-cell and one n-cell"
"O012-ADV-0541","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:3443-3448; reader:#o012-fom-u006-audit-projective-quotient; reviewed snapshot e8d4d5391f8cdf4e62a019f7a991d09e4b610633e8e660dec4e0ea2b61c538f7","[FOM-U006A-ADV-008] The projective quotient writes x equivalent to lambda x without requiring lambda to be nonzero, even though lambda=0 leaves the punctured vector-space domain.","require lambda in R^times and retain the equivalent antipodal-sphere quotient","corrected_in_translation","makes the equivalence relation well typed on nonzero vectors"
"O012-ADV-0542","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:3472-3508; reader:#o012-fom-u006-audit-projective-attaching; reviewed snapshot e8d4d5391f8cdf4e62a019f7a991d09e4b610633e8e660dec4e0ea2b61c538f7","[FOM-U006A-ADV-009] The source calls RP^1 the equator of RP^2 and mixes an unindexed disjoint union of n-discs with indexed maps although the displayed filtration adds one n-cell.","use the canonical subspace RP^(n-1) and one fully typed antipodal quotient map q_n:S^(n-1)->RP^(n-1)","corrected_in_translation","matches the stated one-cell-per-dimension filtration and removes ambiguous multi-disc notation"
"O012-ADV-0543","P3","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:3130-3131,3180-3181,3292-3294,3391-3396,3447,3506-3508; reader:#o012-fom-u006-audit-grouped-typography; reviewed snapshot e8d4d5391f8cdf4e62a019f7a991d09e4b610633e8e660dec4e0ea2b61c538f7","[FOM-U006A-ADV-010] The selected span contains grouped deterministic subject-verb, singular/plural, spelling, and index-consistency defects distinct from the substantive mathematical corrections.","normalize the grouped defects without adding mathematical claims","corrected_in_translation","keeps the Indonesian reader grammatical while deduplicating low-severity source corrections"
