event_id,severity,source_location,observed,action,status,rationale
"O012-ADV-0499","P3","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:1925-1929; reader:64-70#o012-fom-u004-audit-excision-direction; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-U004-SRC-001] The source prints the abstract excision isomorphism with H_n(X,A) first although the named inclusion canonically induces the map in the opposite displayed direction.","display the induced map from H_n(X minus Z,A minus Z) to H_n(X,A) while retaining the symmetric abstract-isomorphism statement","clarified_in_translation","makes the map direction agree with covariance and the inclusion of pairs without changing mathematical content"
"O012-ADV-0500","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2050-2152; reader:288-326#o012-fom-u004-omission-pr05a/#o012-fom-u004-omission-pr05b; edition-original repairs reader:336#o012-fom-u004-proof-pr05a and 401#o012-fom-u004-proof-pr05b; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-PR-05; FOM-U004-SRC-002] The active source does not prove the barycentric diameter bound or its iteration and omits the small-chain and chain-homotopy-equivalence argument; lines 2073-2150 are inactive unfinished TeX comments.","supply the separately identified edition-original FOM-PR-05a diameter proof and FOM-PR-05b subdivision, Lebesgue-number, homology, and chain-homotopy-equivalence proof","proof_completed_in_translation","closes both linked omissions under one repair ID without promoting unpublished comments to source prose"
"O012-ADV-0501","P2","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2028-2044; reader:329-334#o012-fom-u004-audit-barycentric-face-notation; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-U004-SRC-003] The source uses Delta superscript i to mean the i-th face even though a simplex superscript conventionally denotes dimension.","write F_i for the i-th face in the barycentric-subdivision recursion","corrected_in_translation","removes an index-versus-dimension ambiguity while preserving the intended recursion"
"O012-ADV-0502","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2160-2178; reader:601-615#o012-fom-u004-omission-pr06; edition-original repair reader:618#o012-fom-u004-proof-pr06; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-PR-06; FOM-U004-SRC-004] The source says the excision proof is to be added and leaves only an inactive quotient-chain comparison without proving a homology isomorphism.","supply the separately identified edition-original FOM-PR-06 proof using small chains, the short exact quotient diagram, and the Five Lemma","proof_completed_in_translation","establishes excision rather than presenting an announced dependency as a proof"
"O012-ADV-0503","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:1369-1374,2197-2230; reader:773-785#o012-fom-u004-audit-relative-quotient; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-U004-SRC-005] The quotient theorem proof uses closedness, nonemptiness, and an interior closure condition absent from the source good-pair definition; it also repeats H_n(U,A) where H_n(A,A) is intended and leaves quotient complements ambiguous.","state the standard good-pair hypotheses, restore H_n(A,A), and parenthesize the quotient-space complements","hypothesis_repaired_in_translation","makes every excision and quotient step valid and the pairs syntactically unambiguous"
"O012-ADV-0504","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2237-2241; reader:793-798#o012-fom-u004-audit-invariance-nonempty; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-U004-SRC-006] The invariance-of-dimension theorem omits that the two open sets are nonempty, making the statement false for empty open sets in unequal Euclidean dimensions.","require both open sets to be nonempty","hypothesis_repaired_in_translation","restores the theorem and licenses the proof's choice of a point"
"O012-ADV-0505","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2243-2280; reader:873-880#o012-fom-u004-audit-local-relative-notation; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-U004-SRC-007] The source switches from U to an undefined X, places reduced-homology tildes on relative groups inconsistently, and does not isolate the degree-zero and zero-dimensional cases.","use U consistently, reserve ordinary H for pair homology and reduced H for absolute complements, and close k=0 and n=0 separately","corrected_in_translation","keeps every group well typed and makes the dimension-detection argument valid at its endpoints"
"O012-ADV-0506","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2379-2387; reader:1094-1099#o012-fom-u004-audit-simplex-generator-degree; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-U004-SRC-008] The source names H_n(boundary Delta^n,Lambda) where the connecting map and adjacent diagram require degree n minus 1.","use H_(n-1)(boundary Delta^n,Lambda)","corrected_in_translation","restores the target degree of the connecting homomorphism"
"O012-ADV-0507","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2308-2412; reader:1101-1113#o012-fom-u004-audit-simplex-sphere-notation; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-U004-SRC-009] Four linked loci conflate ordinary with reduced sphere homology, switch a relative group to quotient-space notation at n=0, put tildes on relative homology, and call Delta_1^n minus Delta_2^n a chain cycle instead of the singular simplices sigma_1 minus sigma_2.","use reduced absolute sphere homology, ordinary relative homology, the relative n=0 group, and the actual singular-chain representatives","corrected_in_translation","preserves generator and orientation arguments with correctly typed groups and chains"
"O012-ADV-0508","P1","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2417-2424; reader:1134-1141#o012-fom-u004-audit-wedge-arrow; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-U004-SRC-010] The source draws the direct sum of inclusion-induced maps from wedge homology to the direct sum although every component inclusion induces a map in the reverse direction.","reverse the displayed arrow so the direct sum maps component homology into wedge homology","corrected_in_translation","makes the displayed morphism typed and covariant"
"O012-ADV-0509","P2","authority/upstream/math-notes-563194fae879178b9a6871b249513bfc27968975/tree/algebraic_topology.tex:2427-2437; reader:1185-1191#o012-fom-u004-audit-wedge-set-notation; reviewed snapshot 2c04d647b58afe044f5549bcba9ad3572075775711bb3aaec45d0e94fe3d3e91","[FOM-U004-SRC-011] The source varies the notation for the set of basepoints and concludes only with abstract isomorphisms without identifying the displayed map as the direct sum of inclusions.","use one explicit basepoint-set notation and add the naturality argument identifying the actual inclusion-induced map","clarified_in_translation","connects the abstract quotient calculation to the proposition's stated morphism"
