term_id,source_term,id_ID,scope,status,note
"O012-TERM-0416","U-small singular simplex","simpleks singular U-kecil","algebraic_topology","admitted","render U as mathematical cal U; its image is contained in one member of the chosen cover"
"O012-TERM-0417","U-chain","rantai-U","algebraic_topology","admitted","render U as mathematical cal U; a finite integral combination of U-small singular simplices"
"O012-TERM-0418","small chain theorem","teorema rantai kecil","algebraic_topology","admitted","the inclusion of cover-small singular chains is a chain-homotopy equivalence and induces homology isomorphisms"
"O012-TERM-0419","barycenter","barisentrum","affine_geometry","admitted","the equal-weight point of a simplex; keep distinct from the already admitted barycentric coordinates and subdivision"
"O012-TERM-0420","diameter","diameter","metric_geometry","admitted","maximum pairwise distance for a simplex or convex hull in the barycentric-subdivision estimate"
"O012-TERM-0421","subdivision operator","operator subdivisi","algebraic_topology","admitted","the chain map Sd induced by oriented barycentric subdivision"
"O012-TERM-0422","acyclic chain complex","kompleks rantai asiklik","homological_algebra","admitted","a chain complex whose homology vanishes in every degree"
"O012-TERM-0423","contracting homotopy","homotopi kontraksi","homological_algebra","admitted","a degree-plus-one map h satisfying boundary h plus h boundary equals the identity"
"O012-TERM-0424","relative-homology quotient theorem","teorema hasil bagi relatif","algebraic_topology","admitted","for a standard good pair identifies ordinary relative homology H_n(X,A) with reduced homology of X/A"
"O012-TERM-0425","invariance of dimension","invariansi dimensi","topology","admitted","nonempty open subsets of Euclidean spaces can be homeomorphic only in the same dimension"
"O012-TERM-0426","local homology","homologi lokal","algebraic_topology","admitted","the groups H_n(X,X minus {x}); preserve ordinary relative homology notation"
"O012-TERM-0427","reduced homology of a wedge sum","homologi tereduksi jumlah baji","algebraic_topology","admitted","identified with the direct sum of component reduced homology under the stated good-pair hypotheses"
"O012-TERM-0428","Möbius band","pita Möbius","topology","admitted","retain the diacritic in reader-facing Indonesian; used in the real-projective-plane Mayer--Vietoris calculation"
"O012-TERM-0429","simplicial--singular homology comparison","pembandingan homologi simpleksial--singular","algebraic_topology","admitted","the natural comparison induced by viewing each oriented simplex as the same singular simplex"
"O012-TERM-0430","open simplex","simpleks terbuka","simplicial_topology","admitted","the relative interior of a simplex in the Delta-complex decomposition"
"O012-TERM-0431","closed simplex","simpleks tertutup","simplicial_topology","admitted","the closure of a simplex used in the weak-topology compactness argument"
"O012-TERM-0432","support of a chain","dukungan rantai","homological_algebra","admitted","the finite union of images of simplices carrying nonzero coefficients"
"O012-TERM-0433","finite-dimensional complex","kompleks berdimensi hingga","simplicial_topology","admitted","in this unit a Delta-complex equal to one of its finite-dimensional skeleta"
"O012-TERM-0434","comparison map","pemetaan pembandingan","algebraic_topology","admitted","the actual natural map between simplicial and singular chain or homology groups; do not replace it by an abstract group isomorphism"
