component_id,path_or_scope,origin,rights,status,required_action
RGT-0001,Notes.tex,David Michael Roberts,CC BY 4.0,admitted,"attribute; link license; identify translation and changes; preserve non-endorsement"
RGT-0002,LICENSE.md,David Michael Roberts,CC BY 4.0,admitted,"retain exact license text"
RGT-0003,Notes_1-8.tex and Notes_1-8.pdf,David Michael Roberts,CC BY 4.0,excluded_obsolete,"retain only in frozen authority archive"
RGT-0004,Möbius.pdf,David Michael Roberts,CC BY 4.0,excluded_source_incomplete,"do not translate unless editable source is separately recovered or independently transcribed"
RGT-0005,Notes.tex:4783-4812,Roberts plus credited TeX StackExchange technique,mixed_or_uncertain,quarantined,"redraw independently from mathematical specification; do not copy code"
RGT-0006,Notes.tex:5411-5417,Roberts plus credited TeX StackExchange answer,mixed_or_uncertain,quarantined,"redraw independently from mathematical specification; do not copy code"
RGT-0007,Roberts-only Indonesian translated contribution,this lane,CC BY 4.0,admitted,"mark adaptation and changes; retain Roberts attribution; do not apply this row to the Fomberg adaptation or integrated reader"
RGT-0008,Original mastery within the Roberts edition,this lane,CC BY 4.0,admitted,"identify as new companion material; do not imply upstream authorship or endorsement"
RGT-0009,MIT OCW 18.905 proof-check material,MIT OCW and named authors,CC BY-NC-SA 4.0 official OCW; editable repository closure mixed,reference_only,"use only to check independently written proofs; do not copy expression or treat repository package as selected source"
RGT-0010,Fomberg algebraic_topology.tex:31-4185 and required header,Yeheli Fomberg,CC BY-SA 4.0,admitted_through_lines_31_2846,"frozen archive/license and dependency-clean double build pass; Sections 1.1-1.10 translated through line 2846; continue at line 2847; exclude separate problem bank"
RGT-0011,Original integrated proof mastery lab and capstone closure,this lane,CC BY-SA 4.0,admitted_in_part_through_fomberg_unit_004,"Fomberg Units 001-004 contain 25 separately identified mastery problems with hints and complete solutions and close FOM-PR-01 through FOM-PR-11; continue exact remaining mastery/lab/capstone closure; preserve component rights and non-endorsement"
RGT-0012,Fomberg Indonesian translated contribution through algebraic_topology.tex:31-2846,this lane,CC BY-SA 4.0,admitted,"mark adaptation and changes; retain Fomberg and Lazarovich attribution; preserve share-alike and non-endorsement"
RGT-0013,Integrated Roberts-Fomberg reader arrangement and current modular backend,this lane,CC BY-SA 4.0,admitted,"preserve separable Roberts CC BY 4.0 and Fomberg CC BY-SA 4.0 component identities; retain attribution change notices share-alike and non-endorsement"
